# Corrente de campo Ifd — PotenciaReativaPu, PotenciaAtivaPu (ou equivalente)
PotenciaReativaPu,PotenciaAtivaPu
0.677196,0.000000
0.677175,0.010000
0.677114,0.020000
0.677011,0.030000
0.676866,0.040000
0.676681,0.050000
0.676454,0.060000
0.676186,0.070000
0.674877,0.080000
0.674527,0.090000
0.674135,0.100000
0.673702,0.110000
0.673228,0.120000
0.672712,0.130000
0.672155,0.140000
0.671556,0.150000
0.669917,0.160000
0.669235,0.170000
0.668512,0.180000
0.667748,0.190000
0.666942,0.200000
0.665094,0.210000
0.664205,0.220000
0.663274,0.230000
0.661301,0.240000
0.660286,0.250000
0.659230,0.260000
0.658131,0.270000
0.655991,0.280000
0.654809,0.290000
0.653584,0.300000
0.651317,0.310000
0.650008,0.320000
0.647657,0.330000
0.646264,0.340000
0.644828,0.350000
0.642349,0.360000
0.640828,0.370000
0.638264,0.380000
0.636657,0.390000
0.634008,0.400000
0.632316,0.410000
0.629580,0.420000
0.627802,0.430000
0.624980,0.440000
0.623115,0.450000
0.620206,0.460000
0.618254,0.470000
0.615259,0.480000
0.612219,0.490000
0.610136,0.500000
0.607009,0.510000
0.604837,0.520000
0.601622,0.530000
0.598362,0.540000
0.596058,0.550000
0.592709,0.560000
0.589315,0.570000
0.585877,0.580000
0.583393,0.590000
0.579865,0.600000
0.576291,0.610000
0.572671,0.620000
0.569006,0.630000
0.566296,0.640000
0.562539,0.650000
0.558736,0.660000
0.554887,0.670000
0.550992,0.680000
0.547050,0.690000
0.543061,0.700000
0.539026,0.710000
0.534943,0.720000
0.530813,0.730000
0.526636,0.740000
0.522410,0.750000
0.518137,0.760000
0.513816,0.770000
0.509447,0.780000
0.505029,0.790000
0.499562,0.800000
0.495046,0.810000
0.490481,0.820000
0.485867,0.830000
0.481203,0.840000
0.475489,0.850000
0.470725,0.860000
0.465911,0.870000
0.460046,0.880000
0.455130,0.890000
0.450163,0.900000
0.444144,0.910000
0.439074,0.920000
0.432952,0.930000
0.427777,0.940000
0.421550,0.950000
0.416270,0.960000
0.409937,0.970000
0.403550,0.980000
0.398110,0.990000
0.391615,1.000000
0.385066,1.010000
0.379462,1.020000
0.372803,1.030000
0.366089,1.040000
0.359318,1.050000
0.352492,1.060000
0.345609,1.070000
0.338668,1.080000
0.331671,1.090000
0.324616,1.100000
0.317502,1.110000
0.310330,1.120000
0.303099,1.130000
0.295809,1.140000
0.288458,1.150000
0.280048,1.160000
0.272576,1.170000
0.264043,1.180000
0.256449,1.190000
