# UEL / estabilidade — PotenciaReativaPu, PotenciaAtivaPu
# Sem este arquivo: UEL não vincula o envelope inferior
PotenciaReativaPu,PotenciaAtivaPu
-0.601667,0.000000
-0.598333,0.010000
-0.595000,0.020000
-0.591667,0.030000
-0.588333,0.040000
-0.585000,0.050000
-0.581667,0.060000
-0.578333,0.070000
-0.575000,0.080000
-0.571667,0.090000
-0.568333,0.100000
-0.565000,0.110000
-0.561667,0.120000
-0.558333,0.130000
-0.555000,0.140000
-0.551667,0.150000
-0.548333,0.160000
-0.545000,0.170000
-0.541667,0.180000
-0.538333,0.190000
-0.535000,0.200000
-0.531667,0.210000
-0.528333,0.220000
-0.525000,0.230000
-0.521667,0.240000
-0.518333,0.250000
-0.515000,0.260000
-0.511667,0.270000
-0.508333,0.280000
-0.505000,0.290000
-0.501667,0.300000
-0.498333,0.310000
-0.495000,0.320000
-0.491667,0.330000
-0.488333,0.340000
-0.485000,0.350000
-0.481667,0.360000
-0.478333,0.370000
-0.475000,0.380000
-0.471667,0.390000
-0.468333,0.400000
-0.465000,0.410000
-0.461667,0.420000
-0.458333,0.430000
-0.455000,0.440000
-0.451667,0.450000
-0.448333,0.460000
-0.445000,0.470000
-0.441667,0.480000
-0.438333,0.490000
-0.435000,0.500000
-0.431667,0.510000
-0.428333,0.520000
-0.425000,0.530000
-0.421667,0.540000
-0.418333,0.550000
-0.415000,0.560000
-0.411667,0.570000
-0.408333,0.580000
-0.405000,0.590000
-0.401667,0.600000
-0.398333,0.610000
-0.395000,0.620000
-0.391667,0.630000
-0.388333,0.640000
-0.385000,0.650000
-0.381667,0.660000
-0.378333,0.670000
-0.375000,0.680000
-0.371667,0.690000
-0.368333,0.700000
-0.365000,0.710000
-0.361667,0.720000
-0.358333,0.730000
-0.355000,0.740000
-0.351667,0.750000
-0.348333,0.760000
-0.345000,0.770000
-0.341667,0.780000
-0.338333,0.790000
-0.335000,0.800000
-0.331667,0.810000
-0.328333,0.820000
-0.325000,0.830000
-0.321667,0.840000
-0.318333,0.850000
-0.315000,0.860000
-0.311667,0.870000
-0.308333,0.880000
-0.305000,0.890000
-0.301667,0.900000
-0.298333,0.910000
-0.295000,0.920000
-0.291667,0.930000
-0.288333,0.940000
-0.285000,0.950000
-0.281667,0.960000
-0.278333,0.970000
-0.275000,0.980000
-0.271667,0.990000
-0.268333,1.000000
-0.265000,1.010000
-0.261667,1.020000
-0.258333,1.030000
-0.255000,1.040000
-0.251667,1.050000
-0.248333,1.060000
-0.245000,1.070000
-0.241667,1.080000
-0.238333,1.090000
-0.235000,1.100000
-0.231667,1.110000
-0.228333,1.120000
-0.225000,1.130000
-0.221667,1.140000
-0.218333,1.150000
-0.215000,1.160000
-0.211667,1.170000
-0.208333,1.180000
-0.205000,1.190000
