# Estabilidade prática (referência) — PotenciaReativaPu, PotenciaAtivaPu
PotenciaReativaPu,PotenciaAtivaPu
-1.372716,0.000000
-1.372716,0.008155
-1.355482,0.018126
-1.338275,0.028716
-1.321061,0.039951
-1.303817,0.051855
-1.286526,0.064455
-1.269177,0.077780
-1.251760,0.091860
-1.234272,0.106725
-1.216708,0.122411
-1.199066,0.138954
-1.181346,0.156392
-1.163547,0.174768
-1.145668,0.194126
-1.127709,0.214517
-1.109672,0.235994
-1.091554,0.258615
-1.073355,0.282446
-1.055074,0.307558
-1.036708,0.334028
-1.018253,0.361943
-0.999706,0.391402
-0.981059,0.422511
-0.962305,0.455392
-0.943433,0.490182
-0.924432,0.527035
-0.905287,0.566126
-0.885978,0.607654
-0.866485,0.651848
-0.846781,0.698970
-0.826836,0.749324
-0.806611,0.803261
-0.786063,0.861196
-0.765139,0.923611
-0.743777,0.991080
-0.721903,1.064288
-0.699426,1.144057
-0.676240,1.231382
-0.652214,1.327484
-0.627189,1.433869
-0.600971,1.552424
-0.573316,1.685540
-0.543922,1.836296
