# SCL tabulado (estator) — colunas: PotenciaReativaPu, PotenciaAtivaPu
# Opcional: se ausente, usa círculo analítico S = Vt·Imax
PotenciaReativaPu,PotenciaAtivaPu
0.997500,0.000000
0.997487,0.005000
0.997450,0.010000
0.997387,0.015000
0.997299,0.020000
0.997187,0.025000
0.997049,0.030000
0.996886,0.035000
0.996698,0.040000
0.996484,0.045000
0.996246,0.050000
0.995983,0.055000
0.995694,0.060000
0.995380,0.065000
0.995041,0.070000
0.994676,0.075000
0.994287,0.080000
0.993872,0.085000
0.993432,0.090000
0.992966,0.095000
0.992475,0.100000
0.991958,0.105000
0.991416,0.110000
0.990849,0.115000
0.990256,0.120000
0.989637,0.125000
0.988993,0.130000
0.988322,0.135000
0.987627,0.140000
0.986905,0.145000
0.986157,0.150000
0.985384,0.155000
0.984584,0.160000
0.983759,0.165000
0.982907,0.170000
0.982029,0.175000
0.981125,0.180000
0.980194,0.185000
0.979238,0.190000
0.978254,0.195000
0.977244,0.200000
0.976208,0.205000
0.975144,0.210000
0.974054,0.215000
0.972937,0.220000
0.971793,0.225000
0.970622,0.230000
0.969423,0.235000
0.968197,0.240000
0.966944,0.245000
0.965664,0.250000
0.964355,0.255000
0.963019,0.260000
0.961655,0.265000
0.960264,0.270000
0.958844,0.275000
0.957396,0.280000
0.955919,0.285000
0.954414,0.290000
0.952881,0.295000
0.951318,0.300000
0.949727,0.305000
0.948107,0.310000
0.946457,0.315000
0.944778,0.320000
0.943070,0.325000
0.941332,0.330000
0.939564,0.335000
0.937767,0.340000
0.935939,0.345000
0.934080,0.350000
0.932192,0.355000
0.930272,0.360000
0.928322,0.365000
0.926340,0.370000
0.924327,0.375000
0.922283,0.380000
0.920207,0.385000
0.918099,0.390000
0.915959,0.395000
0.913787,0.400000
0.911582,0.405000
0.909344,0.410000
0.907073,0.415000
0.904769,0.420000
0.902431,0.425000
0.900059,0.430000
0.897653,0.435000
0.895213,0.440000
0.892738,0.445000
0.890228,0.450000
0.887683,0.455000
0.885102,0.460000
0.882486,0.465000
0.879833,0.470000
0.877144,0.475000
0.874418,0.480000
0.871654,0.485000
0.868853,0.490000
0.866015,0.495000
0.863137,0.500000
0.860222,0.505000
0.857267,0.510000
0.854272,0.515000
0.851238,0.520000
0.848163,0.525000
0.845048,0.530000
0.841891,0.535000
0.838693,0.540000
0.835453,0.545000
0.832170,0.550000
0.828843,0.555000
0.825473,0.560000
0.822059,0.565000
0.818600,0.570000
0.815096,0.575000
0.811546,0.580000
0.807949,0.585000
0.804305,0.590000
0.800613,0.595000
0.796873,0.600000
0.793083,0.605000
0.789244,0.610000
0.785354,0.615000
0.781413,0.620000
0.777420,0.625000
0.773373,0.630000
0.769273,0.635000
0.765118,0.640000
0.760908,0.645000
0.756641,0.650000
0.752317,0.655000
0.747935,0.660000
0.743493,0.665000
0.738990,0.670000
0.734426,0.675000
0.729799,0.680000
0.725108,0.685000
0.720351,0.690000
0.715529,0.695000
0.710638,0.700000
0.705678,0.705000
0.700647,0.710000
0.695544,0.715000
0.690367,0.720000
0.685114,0.725000
0.679784,0.730000
0.674375,0.735000
0.668884,0.740000
0.663311,0.745000
0.657652,0.750000
0.651906,0.755000
0.646070,0.760000
0.640142,0.765000
0.634118,0.770000
0.627998,0.775000
0.621777,0.780000
0.615452,0.785000
0.609021,0.790000
0.602479,0.795000
0.595824,0.800000
0.589051,0.805000
0.582157,0.810000
0.575136,0.815000
0.567984,0.820000
0.560697,0.825000
0.553269,0.830000
0.545693,0.835000
0.537965,0.840000
0.530077,0.845000
0.522021,0.850000
0.513791,0.855000
0.505377,0.860000
0.496771,0.865000
0.487961,0.870000
0.478938,0.875000
0.469687,0.880000
0.460197,0.885000
0.450451,0.890000
0.440433,0.895000
0.430124,0.900000
0.419501,0.905000
0.408542,0.910000
0.397217,0.915000
0.385495,0.920000
0.373338,0.925000
0.360702,0.930000
0.347536,0.935000
0.333776,0.940000
0.319345,0.945000
0.304148,0.950000
0.288065,0.955000
0.270936,0.960000
0.252550,0.965000
0.232608,0.970000
0.210669,0.975000
0.186028,0.980000
0.157421,0.985000
0.122091,0.990000
