# Rotor / OEL pico — PotenciaReativaPu, PotenciaAtivaPu
PotenciaReativaPu,PotenciaAtivaPu
1.579749,0.000000
1.578735,0.010000
1.578694,0.020000
1.578625,0.030000
1.578529,0.040000
1.578405,0.050000
1.578254,0.060000
1.578076,0.070000
1.577870,0.080000
1.577636,0.090000
1.577375,0.100000
1.577086,0.110000
1.576770,0.120000
1.576427,0.130000
1.576056,0.140000
1.575657,0.150000
1.574231,0.160000
1.573777,0.170000
1.573296,0.180000
1.572787,0.190000
1.572251,0.200000
1.571687,0.210000
1.570095,0.220000
1.569476,0.230000
1.568829,0.240000
1.568155,0.250000
1.567453,0.260000
1.565723,0.270000
1.564965,0.280000
1.564180,0.290000
1.563367,0.300000
1.561526,0.310000
1.560658,0.320000
1.559762,0.330000
1.558838,0.340000
1.556886,0.350000
1.555906,0.360000
1.554898,0.370000
1.552863,0.380000
1.551799,0.390000
1.550708,0.400000
1.548588,0.410000
1.547441,0.420000
1.546266,0.430000
1.544062,0.440000
1.542831,0.450000
1.540571,0.460000
1.539283,0.470000
1.537967,0.480000
1.535623,0.490000
1.534251,0.500000
1.531850,0.510000
1.530421,0.520000
1.527964,0.530000
1.526478,0.540000
1.523964,0.550000
1.522422,0.560000
1.519851,0.570000
1.518251,0.580000
1.515623,0.590000
1.513967,0.600000
1.511281,0.610000
1.509568,0.620000
1.506825,0.630000
1.504054,0.640000
1.502253,0.650000
1.499424,0.660000
1.497567,0.670000
1.494680,0.680000
1.491764,0.690000
1.489819,0.700000
1.486846,0.710000
1.483843,0.720000
1.481810,0.730000
1.478749,0.740000
1.475659,0.750000
1.473539,0.760000
1.470389,0.770000
1.467211,0.780000
1.465003,0.790000
1.461765,0.800000
1.458498,0.810000
1.455201,0.820000
1.451874,0.830000
1.449518,0.840000
1.446132,0.850000
1.442716,0.860000
1.439270,0.870000
1.435794,0.880000
1.432288,0.890000
1.429751,0.900000
1.426185,0.910000
1.422588,0.920000
1.418961,0.930000
1.415304,0.940000
1.411616,0.950000
1.407898,0.960000
1.404149,0.970000
1.400369,0.980000
1.396559,0.990000
1.392718,1.000000
1.388846,1.010000
1.384943,1.020000
1.381008,1.030000
1.377043,1.040000
1.373047,1.050000
1.369019,1.060000
1.364960,1.070000
1.360869,1.080000
1.356747,1.090000
1.351594,1.100000
1.347408,1.110000
1.343191,1.120000
1.338942,1.130000
1.334661,1.140000
1.330347,1.150000
1.325002,1.160000
1.320625,1.170000
1.316215,1.180000
1.311772,1.190000
