# Saliência polar — PotenciaReativaPu, PotenciaAtivaPu
# Só entra no envelope se IncluirSalienciaNoEnvelope=true em curvas.json
PotenciaReativaPu,PotenciaAtivaPu
-1.128125,0.000000
-1.128164,0.004475
-1.128281,0.008948
-1.128476,0.013419
-1.128750,0.017885
-1.129101,0.022346
-1.129530,0.026800
-1.130036,0.031246
-1.130620,0.035683
-1.131282,0.040109
-1.132020,0.044522
-1.132836,0.048922
-1.133728,0.053307
-1.134696,0.057676
-1.135741,0.062027
-1.136861,0.066359
-1.138057,0.070671
-1.139328,0.074962
-1.140674,0.079229
-1.142094,0.083473
-1.143587,0.087691
-1.145154,0.091883
-1.146794,0.096046
-1.148507,0.100180
-1.150291,0.104284
-1.152147,0.108356
-1.154073,0.112395
-1.156070,0.116400
-1.158136,0.120369
-1.160272,0.124301
-1.162475,0.128196
-1.164746,0.132052
-1.167084,0.135867
-1.169489,0.139641
-1.171958,0.143373
-1.174493,0.147060
-1.177092,0.150703
-1.179753,0.154301
-1.182477,0.157851
-1.185263,0.161353
-1.188109,0.164806
-1.191016,0.168208
-1.193981,0.171560
-1.197004,0.174859
-1.200084,0.178105
-1.203220,0.181297
-1.206412,0.184433
-1.209658,0.187513
-1.212957,0.190536
-1.216309,0.193502
-1.219711,0.196408
-1.223164,0.199254
-1.226666,0.202040
-1.230216,0.204764
-1.233814,0.207426
-1.237457,0.210024
-1.241144,0.212559
-1.244876,0.215028
-1.248650,0.217433
-1.252465,0.219771
-1.256321,0.222042
-1.260216,0.224246
-1.264148,0.226381
-1.268117,0.228447
-1.272122,0.230444
-1.276161,0.232370
-1.280233,0.234226
-1.284337,0.236010
-1.288471,0.237723
-1.292634,0.239363
-1.296826,0.240930
-1.301044,0.242423
-1.305288,0.243843
-1.309555,0.245189
-1.313846,0.246460
-1.318158,0.247656
-1.322490,0.248776
-1.326841,0.249821
-1.331210,0.250789
-1.335595,0.251681
-1.339995,0.252497
-1.344408,0.253235
-1.348834,0.253897
-1.353271,0.254481
-1.357717,0.254988
-1.362171,0.255416
-1.366632,0.255767
-1.371099,0.256041
-1.375569,0.256236
-1.380042,0.256353
-1.384517,0.256392
-1.388992,0.256353
-1.393465,0.256236
-1.397936,0.256041
-1.402402,0.255767
-1.406863,0.255416
-1.411317,0.254988
-1.415763,0.254481
-1.420200,0.253897
-1.424626,0.253235
-1.429039,0.252497
-1.433439,0.251681
-1.437824,0.250789
-1.442193,0.249821
-1.446544,0.248776
-1.450876,0.247656
-1.455188,0.246460
-1.459479,0.245189
-1.463747,0.243843
-1.467990,0.242423
-1.472208,0.240930
-1.476400,0.239363
-1.480563,0.237723
-1.484697,0.236010
-1.488801,0.234226
-1.492873,0.232370
-1.496912,0.230444
-1.500917,0.228447
-1.504886,0.226381
-1.508818,0.224246
-1.512713,0.222042
-1.516569,0.219771
-1.520384,0.217433
-1.524158,0.215028
-1.527890,0.212559
-1.531577,0.210024
-1.535221,0.207426
-1.538818,0.204764
-1.542368,0.202040
-1.545870,0.199254
-1.549323,0.196408
-1.552725,0.193502
-1.556077,0.190536
-1.559376,0.187513
-1.562622,0.184433
-1.565814,0.181297
-1.568950,0.178105
-1.572030,0.174859
-1.575053,0.171560
-1.578019,0.168208
-1.580925,0.164806
-1.583771,0.161353
-1.586557,0.157851
-1.589281,0.154301
-1.591943,0.150703
-1.594541,0.147060
-1.597076,0.143373
-1.599546,0.139641
-1.601950,0.135867
-1.604288,0.132052
-1.606559,0.128196
-1.608763,0.124301
-1.610898,0.120369
-1.612964,0.116400
-1.614961,0.112395
-1.616887,0.108356
-1.618743,0.104284
-1.620527,0.100180
-1.622240,0.096046
-1.623880,0.091883
-1.625447,0.087691
-1.626940,0.083473
-1.628360,0.079229
-1.629706,0.074962
-1.630977,0.070671
-1.632173,0.066359
-1.633293,0.062027
-1.634338,0.057676
-1.635306,0.053307
-1.636198,0.048922
-1.637014,0.044522
-1.637752,0.040109
-1.638414,0.035683
-1.638998,0.031246
-1.639505,0.026800
-1.639933,0.022346
-1.640285,0.017885
-1.640558,0.013419
-1.640753,0.008948
-1.640870,0.004475
-1.640909,0.000000
