# OEL / sobre-excitação (aquec. campo) — PotenciaReativaPu, PotenciaAtivaPu
# Opcional: se ausente, usa arco OEL analítico (Xd, If)
PotenciaReativaPu,PotenciaAtivaPu
0.767551,0.000000
0.767532,0.010000
0.767473,0.020000
0.767375,0.030000
0.767237,0.040000
0.767061,0.050000
0.765845,0.060000
0.765590,0.070000
0.765295,0.080000
0.764962,0.090000
0.764589,0.100000
0.764176,0.110000
0.763724,0.120000
0.763233,0.130000
0.762703,0.140000
0.761133,0.150000
0.760524,0.160000
0.759875,0.170000
0.759187,0.180000
0.758459,0.190000
0.756691,0.200000
0.755884,0.210000
0.755038,0.220000
0.754151,0.230000
0.752225,0.240000
0.751259,0.250000
0.750254,0.260000
0.749208,0.270000
0.747123,0.280000
0.745997,0.290000
0.744832,0.300000
0.742627,0.310000
0.741381,0.320000
0.740095,0.330000
0.737769,0.340000
0.736403,0.350000
0.733996,0.360000
0.732549,0.370000
0.730061,0.380000
0.728533,0.390000
0.726964,0.400000
0.724354,0.410000
0.722704,0.420000
0.720013,0.430000
0.718280,0.440000
0.715507,0.450000
0.713692,0.460000
0.710836,0.470000
0.707939,0.480000
0.706001,0.490000
0.703021,0.500000
0.700999,0.510000
0.697936,0.520000
0.694830,0.530000
0.692683,0.540000
0.689494,0.550000
0.686263,0.560000
0.683989,0.570000
0.680673,0.580000
0.677315,0.590000
0.673914,0.600000
0.671470,0.610000
0.667983,0.620000
0.664453,0.630000
0.660880,0.640000
0.658264,0.650000
0.654605,0.660000
0.650902,0.670000
0.647155,0.680000
0.643364,0.690000
0.639530,0.700000
0.635651,0.710000
0.631728,0.720000
0.627760,0.730000
0.623748,0.740000
0.619692,0.750000
0.615590,0.760000
0.611443,0.770000
0.607250,0.780000
0.603013,0.790000
0.598729,0.800000
0.594400,0.810000
0.590025,0.820000
0.585603,0.830000
0.581135,0.840000
0.575621,0.850000
0.571060,0.860000
0.566451,0.870000
0.561795,0.880000
0.556092,0.890000
0.551341,0.900000
0.546543,0.910000
0.540696,0.920000
0.535800,0.930000
0.529856,0.940000
0.524864,0.950000
0.519822,0.960000
0.513731,0.970000
0.508590,0.980000
0.502399,0.990000
0.496158,1.000000
0.490867,1.010000
0.484525,1.020000
0.479132,1.030000
0.472687,1.040000
0.466191,1.050000
0.459644,1.060000
0.454044,1.070000
0.447391,1.080000
0.440686,1.090000
0.433928,1.100000
0.427116,1.110000
0.420250,1.120000
0.413330,1.130000
0.406356,1.140000
0.399327,1.150000
0.392243,1.160000
0.385103,1.170000
0.377907,1.180000
0.370655,1.190000
