# MEL (subexcitação) — PotenciaReativaPu, PotenciaAtivaPu
# Sem este arquivo: MEL não vincula o envelope inferior
PotenciaReativaPu,PotenciaAtivaPu
-0.766261,0.000000
-0.766317,0.010000
-0.766484,0.020000
-0.767763,0.030000
-0.768154,0.040000
-0.768658,0.050000
-0.770273,0.060000
-0.771000,0.070000
-0.772841,0.080000
-0.773794,0.090000
-0.775861,0.100000
-0.778041,0.110000
-0.779336,0.120000
-0.781746,0.130000
-0.784270,0.140000
-0.786911,0.150000
-0.790668,0.160000
-0.793542,0.170000
-0.796535,0.180000
-0.800646,0.190000
-0.803877,0.200000
-0.808228,0.210000
-0.812701,0.220000
-0.817296,0.230000
-0.822015,0.240000
-0.826859,0.250000
-0.831829,0.260000
-0.836927,0.270000
-0.843153,0.280000
-0.849510,0.290000
-0.855998,0.300000
-0.862620,0.310000
-0.869377,0.320000
-0.876271,0.330000
-0.884304,0.340000
-0.892478,0.350000
-0.900796,0.360000
-0.910259,0.370000
-0.919869,0.380000
-0.929630,0.390000
-0.939544,0.400000
-0.950614,0.410000
-0.962843,0.420000
-0.975234,0.430000
-0.988790,0.440000
-1.002515,0.450000
-1.018413,0.460000
-1.034488,0.470000
-1.052744,0.480000
-1.073185,0.490000
-1.095817,0.500000
-1.121644,0.510000
-1.153673,0.520000
-1.197908,0.530000
